target_id,ann
245187,58399
321232,58733
135426,51531
180880,59669
15151,6909
170672,67315
384492,27473
127825,26422
316889,4163
79429,9348
71193,67606
388952,57888
370054,58301
385312,40899
197606,55301
303490,23748
354337,5015
154074,68290
319336,44521
187450,31118
287306,23134
79625,3419
21971,7847
69445,27121
147353,10500
182418,31839
172340,57781
28795,9121
16336,17718
322552,54346
392991,2834
46047,60565
253833,44503
256,3514
99653,16152
313872,40926
128099,73624
247975,36418
200267,49958
99324,53314
231202,50583
302229,1304
176834,69225
365475,58028
60713,42288
268835,42103
312888,58110
351903,56635
293738,60162
131531,9105
240764,12856
218021,73083
172559,34074
236104,28670
149012,27655
86328,69387
224503,58733
394281,25893
14766,50934
92704,69954
145100,40247
337272,32866
337655,27319
177264,61036
92984,34444
349512,15575
379125,13403
244243,63232
61525,63232
196183,54553
311492,45824
207884,70341
225892,54832
225713,73495
85919,15046
329970,28441
378108,23181
341639,68659
8397,72466
84679,34945
294362,4206
172579,61036
289101,11505
119466,28857
32694,12083
82300,30489
216536,57889
267691,18461
206776,35897
297149,65701
333620,16006
48090,55908
191932,60461
47869,60162
37664,73786
243695,51736
27934,32004
118164,26182
304482,46017
301667,56320
159029,45925
136384,62203
127362,75943
15085,51081
187714,68172
78912,6952
392697,13187
316578,40689
106415,15418
337395,6212
304386,7712
37937,67801
53508,34732
236929,31534
237272,38906
269227,72943
64215,69739
222026,75367
104206,68172
398686,29496
186796,67963
336848,36969
63319,42878
389522,29402
36472,59465
299120,16015
10323,8036
100166,21969
386712,33522
271805,62203
161128,15089
30873,68165
20085,51987
90521,11138
12309,68918
384041,53953
138920,51879
233236,36117
133343,51703
73309,65104
144857,60162
379821,8653
21298,13325
250785,45824
242145,30430
378947,60162
155556,60968
130632,3159
360250,17200
129025,51879
333326,74580
47240,55301
186539,36706
109830,46359
338933,17571
186795,47610
55563,67297
138110,62478
469,48595
126921,5614
368559,68432
77274,29376
58095,64359
101765,17585
41024,62169
2669,65232
284755,63453
321179,46624
307493,46688
7715,75611
113019,71030
58741,26611
139665,25570
353464,61243
10566,60162
287584,37395
164151,16120
231961,22434
331451,11650
27745,52037
39442,31937
47280,51671
203722,40343
272510,14728
163734,60162
153366,49933
3925,51449
137772,69739
51942,63179
331275,2605
113173,1328
140553,42319
229930,37294
147966,45824
218088,45705
337097,20188
150808,3371
322054,12695
149693,21969
376856,64991
227492,17763
248943,37480
170708,37458
258369,14193
223118,27319
249089,31253
161012,18156
112940,45784
164107,27319
320208,64553
226506,59722
8519,50136
6039,9187
77816,55301
51743,74337
167418,32472
180086,18834
100260,70353
270330,45824
362675,15105
282526,60162
131635,61252
217796,65186
319018,43437
51001,64277
21598,27
294327,17095
148179,46446
136395,6510
57789,74263
281399,45824
57676,54553
204467,56698
262670,34732
24892,32022
270142,9628
140501,40334
303143,58441
251341,58895
247766,61252
46201,29715
369645,54821
140170,39737
394240,43068
377618,55572
312024,6856
366108,24336
160431,26690
136061,59838
82928,54553
344179,20990
157145,33746
372226,20990
118110,39025
100170,58170
158576,72598
266022,29429
112119,36320
94208,28288
146432,68018
314199,70591
80799,69790
396753,5139
78309,3611
278072,68530
102105,287
191465,24989
149699,71911
348188,15528
265529,7796
264777,64027
25682,65659
364147,71007
46663,6509
307372,28388
221720,28766
81846,38402
179806,23701
121590,23701
157178,6928
232489,57586
165644,59620
381510,18727
363170,45097
46821,27990
80752,68432
385192,22087
209839,56725
364639,32445
11640,35040
264206,4057
234050,52852
167038,49032
14828,28857
40562,26690
202946,41811
135446,655
